,Time,Open,High,Low,Close,Volume,Readable_time
284,1699819200000,56.02,57.02,55.68,56.76,286524.26000000,2023-11-12 20:00:00
285,1699822800000,56.77,57.29,56.48,56.98,205257.56000000,2023-11-12 21:00:00
286,1699826400000,56.98,57.44,56.64,57.08,151752.53000000,2023-11-12 22:00:00
287,1699830000000,57.07,57.57,55.56,56.28,539622.68000000,2023-11-12 23:00:00
288,1699833600000,56.27,57.57,55.1,57.53,493011.01000000,2023-11-13 00:00:00
289,1699837200000,57.54,59.0,57.37,58.77,458938.35000000,2023-11-13 01:00:00
290,1699840800000,58.77,59.42,57.92,58.25,325628.29000000,2023-11-13 02:00:00
291,1699844400000,58.25,58.26,56.6,56.99,383299.75000000,2023-11-13 03:00:00
292,1699848000000,56.98,58.29,56.84,57.23,260387.66000000,2023-11-13 04:00:00
293,1699851600000,57.23,58.75,56.65,58.39,323182.07000000,2023-11-13 05:00:00
294,1699855200000,58.4,58.7,57.07,58.4,255192.34000000,2023-11-13 06:00:00
295,1699858800000,58.4,59.5,57.89,58.24,395545.36000000,2023-11-13 07:00:00
296,1699862400000,58.23,59.6,58.01,59.27,321744.28000000,2023-11-13 08:00:00
297,1699866000000,59.26,59.55,58.2,58.71,264344.92000000,2023-11-13 09:00:00
298,1699869600000,58.71,58.94,57.32,57.91,288199.49000000,2023-11-13 10:00:00
299,1699873200000,57.9,58.05,56.46,57.04,361724.97000000,2023-11-13 11:00:00
300,1699876800000,57.02,58.0,56.08,57.62,350736.00000000,2023-11-13 12:00:00
301,1699880400000,57.62,57.86,56.62,57.3,254759.29000000,2023-11-13 13:00:00
302,1699884000000,57.3,59.86,54.28,56.0,1687994.69000000,2023-11-13 14:00:00
303,1699887600000,56.0,56.87,54.79,55.64,658694.85000000,2023-11-13 15:00:00
304,1699891200000,55.63,56.9,55.37,55.53,449103.69000000,2023-11-13 16:00:00
305,1699894800000,55.53,55.66,52.2,53.64,939642.55000000,2023-11-13 17:00:00
306,1699898400000,53.65,54.44,53.1,54.04,418217.19000000,2023-11-13 18:00:00
307,1699902000000,54.04,54.93,53.76,54.64,344133.62000000,2023-11-13 19:00:00
308,1699905600000,54.64,54.65,53.11,53.5,415308.48000000,2023-11-13 20:00:00
309,1699909200000,53.5,53.52,51.28,52.15,926586.73000000,2023-11-13 21:00:00
310,1699912800000,52.15,52.94,52.06,52.24,220238.48000000,2023-11-13 22:00:00
311,1699916400000,52.23,52.8,51.55,51.6,270249.18000000,2023-11-13 23:00:00
312,1699920000000,51.6,53.88,51.12,52.8,696542.61000000,2023-11-14 00:00:00
313,1699923600000,52.8,54.49,52.76,54.06,409864.94000000,2023-11-14 01:00:00
314,1699927200000,54.07,54.4,53.28,54.34,328176.64000000,2023-11-14 02:00:00
315,1699930800000,54.33,54.84,53.97,54.03,408372.98000000,2023-11-14 03:00:00
316,1699934400000,54.03,54.63,53.79,54.25,247682.94000000,2023-11-14 04:00:00
317,1699938000000,54.25,54.8,54.15,54.8,323796.06000000,2023-11-14 05:00:00
318,1699941600000,54.8,54.91,54.02,54.47,498175.22000000,2023-11-14 06:00:00
319,1699945200000,54.48,55.44,54.38,55.16,336413.50000000,2023-11-14 07:00:00
320,1699948800000,55.16,55.82,55.05,55.37,297321.93000000,2023-11-14 08:00:00
321,1699952400000,55.38,55.48,54.03,54.2,374059.70000000,2023-11-14 09:00:00
322,1699956000000,54.21,54.6,53.62,54.17,272484.14000000,2023-11-14 10:00:00
